DATE,AAPL_1_MONTH_RETURN
2024-04-30,0.004311872415829976
2024-02-29,0.040075698541689686
2024-01-31,-0.006528952156695134
2023-11-30,-0.0903053754444677
2023-10-31,-0.0012645858481346028
2023-08-31,0.03246067771561356
2023-07-31,-0.01610347119267941
2023-06-30,-0.06427309570819939
2023-05-31,-0.05830418124271208
2023-03-31,-0.1255340915929467
2023-02-28,0.0008258206592799411
2023-01-31,-0.1399986247679298
2022-11-30,0.015777762794147332
2022-10-31,-0.054430799867242086
2022-09-30,0.10888030888030875
2022-08-31,0.02247404406178788
2022-06-30,0.07039516303174254
2022-05-31,0.0622016004303676
2022-03-31,-0.06373702025127626
2022-02-28,0.0699142156862742
2022-01-31,0.042380161502777014
2021-12-31,-0.09472007032580576
2021-11-30,-0.09595193299751203
2021-09-30,0.06912022432527154
2021-08-31,-0.04583306012720445
2021-06-30,-0.0946310191593216
2021-04-30,-0.07197827071072904
2021-03-31,0.03894308943089442
2020-12-31,-0.051696159493083815
2020-11-30,-0.11367340286831851
2020-09-30,0.14889973456631522
2020-08-31,-0.188105529885229
2020-07-31,-0.16440242335230415
2020-06-30,-0.11611556629682518
2020-04-30,-0.16659748166597488
2020-03-31,0.24024572472189898
2020-01-31,-0.026953479331346286
2019-12-31,-0.12052204021840462
2019-10-31,-0.12210756722951832
2019-09-30,-0.08406055209260899
2019-07-31,-0.03300710036461374
2019-05-31,0.21463189476113587
2019-04-30,-0.09158274748242412
2019-02-28,-0.04823959762231367
2019-01-31,-0.05164544799423476
2018-12-31,0.17046605876393173
2018-11-30,0.2023371564596408
2018-10-31,0.02267818574513991
2018-08-31,-0.11753371868978846
2018-07-31,-0.07105994442238972
2018-05-31,-0.11101766190075701
2018-04-30,-0.014427625354777152
2018-02-28,-0.04114285714285715
2018-01-31,0.026698450536352558
2017-11-30,-0.024321796071094526
2017-10-31,-0.07837967401725765
2017-08-31,-0.08534503779565983
2017-07-31,-0.04345507864569442
2017-06-30,0.06744704570791482
2017-05-31,-0.04308093994778028
2017-03-31,-0.027275257445031453
2017-02-28,-0.0789699570815453
2017-01-31,-0.09785647716682211
2016-11-30,0.018268176835952055
2016-10-31,0.009329027628274256
2016-09-30,-0.051546391752576914
2016-08-31,-0.0063718140929538425
2016-06-30,0.02711722987067211
2016-05-31,-0.04914703493095074
2016-03-31,-0.08618181818181803
2016-02-29,-0.04058893752487103
2015-12-31,0.1138952164009106
2015-11-30,0.03271983640081766
2015-09-30,-0.01715328467153321
2015-08-31,0.09951726698848895
2015-07-31,0.06889564336372844
2015-06-30,0.030963665086888303
2015-04-30,-0.03660049627791584
2015-03-31,0.03895685769478474
2014-12-31,0.05268935236004402
2014-10-31,-0.0932358318098725
2014-09-30,0.041532258064516325
2014-07-31,-0.027049521431544155
2014-06-30,-0.039777587681779525
