DATE,MSFT_1_MONTH_RETURN
2024-04-30,0.07502405428672643
2024-02-29,-0.028206979542719557
2024-01-31,-0.08150477983060056
2023-11-30,-0.07593922725694868
2023-10-31,-0.0701303204553988
2023-08-31,0.023367613947543386
2023-07-31,0.004905750133793685
2023-06-30,-0.016006390721618913
2023-05-31,-0.08124361055986495
2023-03-31,-0.14260348849354176
2023-02-28,0.02631258374954326
2023-01-31,-0.052106824925815864
2022-11-30,-0.10412658526051277
2022-10-31,0.055090502695358756
2022-09-30,0.08166486666112793
2022-08-31,0.06762672811059844
2022-06-30,0.04946451960859921
2022-05-31,0.04423316937082489
2022-03-31,-0.04676491500226221
2022-02-28,0.04682149516867273
2022-01-31,0.08417541132271045
2021-12-31,-0.013950709484689905
2021-11-30,-0.002150993698497583
2021-09-30,0.04403320650293985
2021-08-31,-0.05635622701520748
2021-06-30,-0.08910162002945532
2021-04-30,-0.037759072500595514
2021-03-31,-0.022323086445224183
2020-12-31,-0.006798658643024202
2020-11-30,-0.06419684565931283
2020-09-30,0.06970723900969533
2020-08-31,-0.04721256655079886
2020-07-31,-0.05467811951602519
2020-06-30,-0.10683927699071805
2020-04-30,-0.12865899066277098
2020-03-31,0.13595424363947073
2020-01-31,-0.07890813166647515
2019-12-31,-0.06892043332088127
2019-10-31,-0.046270526022822334
2019-09-30,-0.007514408696286279
2019-07-31,-0.01723888164566112
2019-05-31,0.06708945260347154
2019-04-30,-0.06928370347200508
2019-02-28,-0.0866435617168756
2019-01-31,-0.01615100214049392
2018-12-31,0.10848496835443
2018-11-30,-0.05504505308234442
2018-10-31,0.09148413897281027
2018-08-31,-0.04860800286456002
2018-07-31,-0.05899510726383139
2018-05-31,-0.05744617521579465
2018-04-30,-0.06821052631578972
2018-02-28,0.015185783521809215
2018-01-31,-0.08816040738383213
2017-11-30,-0.012817469736530085
2017-10-31,-0.10302957441692706
2017-08-31,-0.01839329185826366
2017-07-31,-0.06076054009368992
2017-06-30,0.028311574006161244
2017-05-31,-0.009843081312411184
2017-03-31,-0.009305873379099605
2017-02-28,-0.02094240837696315
2017-01-31,-0.015728216420258123
2016-11-30,0.010135135135135087
2016-10-31,-0.03979933110367906
2016-09-30,0.002960640891675359
2016-08-31,-0.017537766973433122
2016-06-30,0.033033620015637366
2016-05-31,-0.042384105960265206
2016-03-31,-0.05380601043728617
2016-02-29,0.04050969950551542
2015-12-31,0.007664233576642587
2015-11-30,-0.03585657370517892
2015-09-30,-0.06254203093476818
2015-08-31,0.11932089909134436
2015-07-31,-0.05052339243751336
2015-06-30,0.0626617167285406
2015-04-30,-0.16308704141403751
2015-03-31,0.07760314341846808
2014-12-31,0.039777587681778526
2014-10-31,-0.03246205733558172
2014-09-30,-0.01764705882352935
2014-07-31,-0.023098460102660257
2014-06-30,-0.025794124671602803
